ID,Name,Location Type List,Geoname ID,Image ID,Description EN,Description DE,Description FR,Description IT,Authorship Resource
L_001,Riverbank,Real World,,,Alice’s Garden in Oxford.,Alices Garten in Oxford.,Le jardin d'Alice à Oxford.,Il giardino di Alice a Oxford.,"Noémi Villars-Amberg, Daniela Subotic"
L_002,Rabbit Hole,Wonderland,,I_006,The entrance to Wonderland.,Der Eingang zum Wunderland.,L'entrée du Pays des Merveilles.,L'ingresso del Paese delle Meraviglie.,"Noémi Villars-Amberg, Daniela Subotic"
L_003,Duchess' house,Wonderland,,I_020,The chaotic home of the Duchess.,Das chaotische Zuhause der Herzogin.,La maison chaotique de la Duchesse.,La caotica casa della Duchessa.,"Noémi Villars-Amberg, Daniela Subotic"
L_004,White Rabbit's house,Wonderland,,"I_011, I_012, I_013","The home of the White Rabbit, where Alice grows too large.","Das Zuhause des Weißen Kaninchens, in dem Alice zu groß wird.","La maison du Lapin Blanc, où Alice devient trop grande.","La casa del Bianconiglio, dove Alice diventa troppo grande.","Noémi Villars-Amberg, Daniela Subotic"
L_005,Seacoast,Wonderland,,,"Where a chaotic Caucus Race occurs, and a Mouse shares a long, winding tale, reflecting the absurdity of Wonderland.","Wo ein chaotischer Vorwahlkampf stattfindet und eine Maus eine lange, verworrene Geschichte erzählt.","Là où une course de caucus chaotique se produit, et où une souris partage une longue et sinueuse histoire.",Dove si verifica una caotica gara di caucus e un topo condivide una lunga e tortuosa storia.,"Noémi Villars-Amberg, Daniela Subotic"
L_006,Palace of Hearts,Wonderland,,,The Palace of Hearts.,Der der Herzpalast.,Le Palais de Cœur.,Il Palazzo di cuore.,"Noémi Villars-Amberg, Daniela Subotic"
L_007,Mad Hatters's Tea Room,Wonderland,,"I_025, I_027",An open air Tea Room where Alice attends a weird tea party. ,"Ein Tearoom unter freiem Himmel, in dem Alice an einer seltsamen Teeparty teilnimmt.",Un salon de thé en plein air où Alice assiste à un étrange goûter.,Una sala da tè all'aperto dove Alice partecipa a uno strano tea party.,"Noémi Villars-Amberg, Daniela Subotic"
L_008,Pool of Tears,Wonderland,,"I_007, I_008",A large pool created by Alice’s tears when she was a giant.,"Ein großer Teich, der durch Alices Tränen entstand, als sie ein Riese war.",Un grand bassin créé par les larmes d'Alice lorsqu'elle était géante.,Una grande vasca creata dalle lacrime di Alice quando era un gigante.,"Noémi Villars-Amberg, Daniela Subotic"
L_009,Oxford,Real World,2640729,,"The city of Oxford, in England, where Alice Liddell lived.","Die Stadt Oxford in England, in der Alice Liddell lebte.","La ville d'Oxford, en Angleterre, où Alice Liddell a vécu.","La città di Oxford, in Inghilterra, dove viveva Alice Liddell.","Noémi Villars-Amberg, Daniela Subotic"
L_010,England,Real World,6269131,,The country where Alice lives.,"Das Land, in dem Alice lebt.",Le pays où vit Alice.,Il paese in cui vive Alice.,"Noémi Villars-Amberg, Daniela Subotic"
L_011,Hall of Doors,Wonderland,,I_003,A room with many locked doors of different sizes.,Ein Raum mit vielen verschlossenen Türen unterschiedlicher Größe.,Une pièce avec de nombreuses portes verrouillées de tailles différentes.,Una stanza con molte porte chiuse a chiave di dimensioni diverse.,"Noémi Villars-Amberg, Daniela Subotic"
L_012,Garden of Live Flowers,Wonderland,,I_052,A garden where flowers can talk.,"Ein Garten, in dem Blumen sprechen können.",Un jardin où les fleurs peuvent parler.,Un giardino dove i fiori possono parlare.,"Noémi Villars-Amberg, Daniela Subotic"
L_013,Queen's Garden,Wonderland,,"I_028, I_029",The Queen’s Garden. The outdoor setting where Alice meets the Queen’s gardeners.,Der Garten der Königin.,Le jardin de la Reine.,Il giardino della Regina.,"Noémi Villars-Amberg, Daniela Subotic"
L_014,Caterpillar’s Mushroom,Wonderland,,I_015,Where Alice meets the Caterpillar.,Wo Alice die Raupe trifft.,L'endroit où Alice rencontre la Chenille.,Dove Alice incontra il Bruco.,"Noémi Villars-Amberg, Daniela Subotic"
L_015,March Hare’s House,Wonderland,,,The March Hare’s House.,Das Haus des Märzhasen.,La maison du Lièvre de Mars.,La casa della Lepre Marzolina.,"Noémi Villars-Amberg, Daniela Subotic"
L_016,Courtroom,Wonderland,,"I_001, I_040, I_041",The setting for the trial of the Knave of Hearts.,Der Schauplatz des Prozesses gegen den Herzbuben.,Le cadre du procès du Valet de Cœur.,L'ambientazione del processo al Fante di cuore.,"Noémi Villars-Amberg, Daniela Subotic"
L_017,Wood Where Things Have No Names,Wonderland,,I_060,A wood where things lose their names.,"Ein Wald, in dem die Dinge ihre Namen verlieren.",Un bois où les choses perdent leur nom.,Un bosco dove le cose perdono il loro nome.,"Noémi Villars-Amberg, Daniela Subotic"
L_018,Mock Turtle’s Beach (Gryphon’s Plateau),Wonderland,,"I_034, I_035",The seashore where the Mock Turtle and Gryphon talk with Alice.,"Die Küste, an der die Scheinschildkröte und der Greif mit Alice sprechen.",Le bord de mer où la Simili Tortue et le Gryphon s'entretiennent avec Alice.,La riva del mare dove la finta tartaruga e il grifone parlano con Alice.,"Noémi Villars-Amberg, Daniela Subotic"
L_019,Alice's home,Real World,,"I_045, I_046, I_092",The house where Alice and her family live.,"Das Haus, in dem Alice und ihre Familie leben.",La maison où vivent Alice et sa famille.,La casa dove vivono Alice e la sua famiglia.,"Noémi Villars-Amberg, Daniela Subotic"
L_020,Duchess' Kitchen,Wonderland,,I_021,"The kitchen of the Duchess, filled with pepper.","Die Küche der Herzogin, gefüllt mit Pfeffer.","La cuisine de la Duchesse, remplie de poivre.","La cucina della Duchessa, piena di pepe.","Noémi Villars-Amberg, Daniela Subotic"
L_021,Cheshire Cat's Tree,Wonderland,,"I_023, I_024",Where Alice meets the Cheshire Cat.,Wo Alice die Grinsekatze trifft.,L'endroit où Alice rencontre le Chat du Cheshire.,Dove Alice incontra lo Stregatto.,"Noémi Villars-Amberg, Daniela Subotic"
L_022,Queen's Croquet Ground,Wonderland,,I_030,A garden where the Queen of Hearts plays croquet.,"Ein Garten, in dem die Herzkönigin Krocket spielt.",Un jardin où la Reine de Cœur joue au croquet.,Un giardino dove la Regina di cuore gioca a croquet.,"Noémi Villars-Amberg, Daniela Subotic"
L_023,Looking-Glass House,Wonderland,,I_047,The mirror world version of Alice’s own home.,Die Spiegelweltversion von Alices eigenem Zuhause.,La version du monde miroir de la maison d'Alice.,La versione del mondo degli specchi della casa di Alice.,"Noémi Villars-Amberg, Daniela Subotic"
L_024,Chessboard Land,Wonderland,,I_054,The overarching setting resembling a giant chessboard.,"Der allumfassende Spielrahmen, der einem riesigen Schachbrett ähnelt.",Le décor général qui ressemble à un échiquier géant.,L'ambientazione generale che assomiglia a una scacchiera gigante.,"Noémi Villars-Amberg, Daniela Subotic"
L_025,Sheep Shop,Wonderland,,I_070,Where Alice encounters the Sheep in a shop.,Wo Alice in einem Geschäft auf das Schaf trifft.,L'endroit où Alice rencontre le Mouton dans un magasin.,Dove Alice incontra la Pecora in un negozio.,"Noémi Villars-Amberg, Daniela Subotic"
L_026,Tweedledum and Tweedledee's Place,Wonderland,,I_061,The area where Alice meets the Tweedle twins.,"Der Ort, an dem Alice die Tweedle-Zwillinge trifft.",L'endroit où Alice rencontre les jumeaux Tweedle.,L'area in cui Alice incontra i gemelli Tweedle.,"Noémi Villars-Amberg, Daniela Subotic"
L_027,Prison,Wonderland,,I_069,The place where the Mad Hatter is kept.,"Der Ort, an dem der verrückte Hutmacher festgehalten wird.",L'endroit où le Chapelier fou est enfermé.,Il luogo in cui è rinchiuso il Cappellaio Matto.,"Noémi Villars-Amberg, Daniela Subotic"
L_028,Humpty Dumpty's Wall,Wonderland,,I_072,The wall where Alice meets Humpty Dumpty.,"Die Mauer, an der Alice Humpty Dumpty trifft.",Le mur où Alice rencontre Humpty Dumpty.,Il muro dove Alice incontra Humpty Dumpty.,"Noémi Villars-Amberg, Daniela Subotic"
L_029,Lion and Unicorn's Battleground,Wonderland,,I_078,The area where the Lion and the Unicorn fight for the crown.,"Der Bereich, in dem der Löwe und das Einhorn um die Krone kämpfen.",La zone où le Lion et la Licorne se battent pour la couronne.,L'area in cui il Leone e l'Unicorno combattono per la corona.,"Noémi Villars-Amberg, Daniela Subotic"
L_030,White Knight's Path,Wonderland,,"I_081, I_082, I_083",The area where Alice meets the White Knight.,"Der Ort, an dem Alice den Weißen Ritter trifft.",L'endroit où Alice rencontre le Cavalier Blanc.,L'area in cui Alice incontra il Cavaliere Bianco.,"Noémi Villars-Amberg, Daniela Subotic"
L_031,Red Queen's Hill,Wonderland,,,The hill Alice ascends to become a queen.,"Der Hügel, den Alice erklimmt, um Königin zu werden.",La colline qu'Alice gravit pour devenir reine.,La collina che Alice sale per diventare regina.,"Noémi Villars-Amberg, Daniela Subotic"
L_032,Chessboard's Final Square,Wonderland,,,The final square where Alice becomes a queen.,"Das letzte Feld, auf dem Alice zur Königin wird.",La case finale où Alice devient reine.,La casella finale in cui Alice diventa regina.,"Noémi Villars-Amberg, Daniela Subotic"
