ID,Description,File Name,Directory,Copyright,License List,URI DaSCH,Authorship,Authorship Resource,File Path,Time Stamp,File Size
MAT_001,xml file used for the import of data on DSP,data_daschland.xml,,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data_daschland.xml,,1.0
MAT_002,csv file for Nodegoat import for Archive class,Archive.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Archive.csv,,0.0
MAT_003,csv file for Nodegoat import for Audio class,Audio.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Audio.csv,,0.0
MAT_004,csv file for Nodegoat import for Book class,Book.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Book.csv,,0.0
MAT_005,csv file for Nodegoat import for Book Chapter class,BookChapter.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/BookChapter.csv,,0.3
MAT_006,csv file for Nodegoat import for Book Edition class,BookEdition.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/BookEdition.csv,,0.0
MAT_007,csv file for Nodegoat import for Character class,Character.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Character.csv,,0.1
MAT_008,csv file for Nodegoat import for Documentation class,Documentation.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Documentation.csv,,0.0
MAT_009,csv file for Nodegoat import for Event class,Event.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Event.csv,,0.0
MAT_010,csv file for Nodegoat import for Image class,Image.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Image.csv,,0.0
MAT_011,csv file for Nodegoat import for Event Type list,List_Event_Type.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/List_Event_Type.csv,,0.0
MAT_012,csv file for Nodegoat import for License list class,List_License.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/List_License.csv,,0.0
MAT_013,csv file for Nodegoat import for Role list class,List_Role.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/List_Role.csv,,0.0
MAT_014,csv file for Nodegoat import for Location class,Location.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Location.csv,,0.0
MAT_015,csv file for Nodegoat import for Material class,Material.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Material.csv,,0.0
MAT_016,csv file for Nodegoat import for Region of Image class,Region.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Region.csv,,0.0
MAT_017,csv file for Nodegoat import for Video class,Video.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/Video.csv,,0.0
MAT_018,csv file for Nodegoat import for Segment of Video class,VideoSegment.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/VideoSegment.csv,,0.0
MAT_019,csv file for Nodegoat import for Segment of Audio class,AudioSegment.csv,data/spreadsheets/,DaSCH,CC BY 4.0,,"Daniela Subotic, Noémi Villars-Amberg","Daniela Subotic, Noémi Villars-Amberg",data/spreadsheets/AudioSegment.csv,,0.0
